"replist1" "replist2" "replist3" "replist4" "replist5" "replist6" "replist7" "replist8" "replist9" "replist10" "replist11" "replist12" "replist13" "replist14" "replist15" "replist16" "replist17" "replist18" "replist19" "replist20" "replist21" "replist22" "replist23" "replist24" "replist25" "replist26" "replist27" "replist28" "replist29" "replist30" "replist31" "replist32" "replist33" "replist34" "replist35" "replist36" "replist37" "replist38" "replist39" "replist40" "replist41" "replist42" "replist43" "replist44" "replist45" "replist46" "replist47" "replist48" "replist49" "replist50" "Label" "Yr"
"51" 101838 113451 113451 113451 113451 106230 113451 81265.8 95582.2 106504 103860 113451 113451 105149 113451 113451 113451 70712 113451 113451 106230 113451 113451 113451 105117 113451 113451 113451 113451 113451 68908.5 113451 103860 113451 105149 113451 113451 113451 105117 113451 113451 113451 105149 113451 105117 113451 113451 105117 113451 113451 "SSB_2000" 2000
"52" 104923 116892 116892 116892 116892 109450 116892 83704.7 98738 109746 107007 116892 116892 108362 116892 116892 116892 72774.5 116892 116892 109450 116892 116892 116892 108329 116892 116892 116892 116892 116892 70915.3 116892 107007 116892 108362 116892 116892 116892 108329 116892 116892 116892 108362 116892 108329 116892 116892 108329 116892 116892 "SSB_2001" 2001
"53" 97597.2 109328 109328 109328 109328 102039 109328 76879.6 91804.4 102362 99641.6 109328 109328 101044 109328 109328 109328 66215.8 109328 109328 102039 109328 109328 109328 101011 109328 109328 109328 109328 109328 64422.4 109328 99641.6 109328 101044 109328 109328 109328 101011 109328 109328 109328 101044 109328 101011 109328 109328 101011 109328 109328 "SSB_2002" 2002
"54" 95560.9 106686 106686 106686 106686 99776.2 106686 75887.6 89979.5 100081 97501.4 106686 106686 98829.3 106686 106686 106686 65781.3 106686 106686 99776.2 106686 106686 106686 98797.7 106686 106686 106686 106686 106686 64078.3 106686 97501.3 106686 98829.3 106686 106686 106686 98797.7 106686 106686 106686 98829.3 106686 98797.7 106686 106686 98797.7 106686 106686 "SSB_2003" 2003
"55" 89921.7 100415 100415 100415 100415 93895.1 100415 71318.3 84550.8 94161.9 91751.2 100415 100415 92955.9 100415 100415 100415 61767.6 100415 100415 93895.1 100415 100415 100415 92926.6 100415 100415 100415 100415 100415 60150.3 100415 91751.2 100415 92956 100415 100415 100415 92926.6 100415 100415 100415 92956 100415 92926.6 100415 100415 92926.6 100415 100415 "SSB_2004" 2004
"56" 95674.2 106650 106650 106650 106650 99826.4 106650 76214.3 90119.8 100101 97585.9 106650 106650 98836.6 106650 106650 106650 66236.7 106650 106650 99826.4 106650 106650 106650 98805.9 106650 106650 106650 106650 106650 64536.1 106650 97585.9 106650 98836.6 106650 106650 106650 98805.9 106650 106650 106650 98836.6 106650 98805.9 106650 106650 98805.9 106650 106650 "SSB_2005" 2005
"57" 105180 117089 117089 117089 117089 109679 117089 83971.6 99076 109950 107252 117089 117089 108548 117089 117089 117089 73120.5 117089 117089 109679 117089 117089 117089 108516 117089 117089 117089 117089 117089 71227.7 117089 107252 117089 108548 117089 117089 117089 108516 117089 117089 117089 108548 117089 108515 117089 117089 108516 117089 117089 "SSB_2006" 2006
"58" 112720 125258 125258 125258 125258 117446 125258 90252 106224 117681 114897 125258 125258 116154 125258 125258 125258 78794.7 125258 125258 117446 125258 125258 125258 116120 125258 125258 125258 125258 125258 76723.6 125258 114897 125258 116154 125258 125258 125258 116120 125258 125258 125258 116154 125258 116120 125258 125258 116120 125258 125258 "SSB_2007" 2007
"59" 106008 118161 118161 118161 118161 110573 118161 84141.6 99500.4 110748 108110 118161 118161 109215 118161 118161 118161 73003.6 118161 118161 110573 118161 118161 118161 109183 118161 118161 118161 118161 118161 70914.3 118161 108110 118161 109215 118161 118161 118161 109183 118161 118161 118161 109215 118161 109183 118161 118161 109183 118161 118161 "SSB_2008" 2008
"60" 106547 118566 118566 118566 118566 111039 118566 84691.7 99950.2 111116 108617 118566 118566 109498 118566 118566 118566 73475.3 118566 118566 111039 118566 118566 118566 109468 118566 118566 118566 118566 118566 71290.9 118566 108617 118566 109498 118566 118566 118566 109468 118566 118566 118566 109498 118566 109468 118566 118566 109468 118566 118566 "SSB_2009" 2009
